corruption_rate,run,architecture,aggregator,mean_utility,mean_fairness,mean_worst_group
0.0,0,hierarchical,majority_vote,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,oracle_upper_bound,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,self_consistency,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,ema_trust,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,trimmed_vote,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,multiplicative_weights,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,confidence_weighted,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,random_dictator,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,supervisor_rerank,0.4225661555119777,0.9247805187580601,0.2715546352755004
0.0,0,hierarchical,oracle,0.4221332253392559,0.9200415382640521,0.26300712038346424
0.0,0,flat,majority_vote,0.4563633331809152,0.9320314827349906,0.31416629618500996
0.0,0,flat,oracle_upper_bound,0.4626730636253957,0.9298501721707026,0.309973771499154
0.0,0,flat,self_consistency,0.46314788538950524,0.9304002620183351,0.31257626126169974
0.0,0,flat,ema_trust,0.4563633331809152,0.9320314827349906,0.31416629618500996
0.0,0,flat,trimmed_vote,0.4563633331809152,0.9320314827349906,0.31416629618500996
0.0,0,flat,multiplicative_weights,0.4563633331809152,0.9320314827349906,0.31416629618500996
0.0,0,flat,confidence_weighted,0.4563633331809152,0.9320314827349906,0.31416629618500996
0.0,0,flat,random_dictator,0.4630055261229273,0.9263492411453972,0.30694721089374527
0.0,0,flat,supervisor_rerank,0.45908525065034655,0.9300478374110139,0.3081870245679906
0.0,0,flat,oracle,0.47639131550540775,0.9227088956581575,0.3056368134766004
0.0,1,hierarchical,majority_vote,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,oracle_upper_bound,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,self_consistency,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,ema_trust,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,trimmed_vote,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,multiplicative_weights,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,confidence_weighted,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,random_dictator,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,supervisor_rerank,0.4377707167914638,0.9286882940245701,0.2877934908014828
0.0,1,hierarchical,oracle,0.4382827116075187,0.923638381962303,0.2822763904214867
0.0,1,flat,majority_vote,0.4492780972899378,0.9257818915651919,0.29966501642362525
0.0,1,flat,oracle_upper_bound,0.4596400552651811,0.9244755124942406,0.30787771687447457
0.0,1,flat,self_consistency,0.44943585489601595,0.926650761695985,0.3001433407473613
0.0,1,flat,ema_trust,0.4492780972899378,0.9257818915651919,0.29966501642362525
0.0,1,flat,trimmed_vote,0.4472774009961161,0.9294354133813808,0.3013754379940862
0.0,1,flat,multiplicative_weights,0.4492780972899378,0.9257818915651919,0.29966501642362525
0.0,1,flat,confidence_weighted,0.4492780972899378,0.9257818915651919,0.29966501642362525
0.0,1,flat,random_dictator,0.44551118675531565,0.9230355926573337,0.29399188087538
0.0,1,flat,supervisor_rerank,0.45612915715250246,0.9224052396537861,0.2995203399397014
0.0,1,flat,oracle,0.4734207389167406,0.9127563603555168,0.29919034586907045
0.0,2,hierarchical,majority_vote,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,oracle_upper_bound,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,self_consistency,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,ema_trust,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,trimmed_vote,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,multiplicative_weights,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,confidence_weighted,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,random_dictator,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,supervisor_rerank,0.41115621346130954,0.9216964494595151,0.2638050639764885
0.0,2,hierarchical,oracle,0.4013125764668267,0.9203089197991151,0.2575924762818885
0.0,2,flat,majority_vote,0.4706162564394058,0.9302021590408022,0.3143427554011572
0.0,2,flat,oracle_upper_bound,0.4711716004489899,0.9337281572882522,0.3191939156780428
0.0,2,flat,self_consistency,0.47009669228065404,0.9300982724831436,0.31425124786711073
0.0,2,flat,ema_trust,0.47005925478781574,0.9308611774409402,0.31421508042099705
0.0,2,flat,trimmed_vote,0.46901184090105563,0.933169588432111,0.31614851216050344
0.0,2,flat,multiplicative_weights,0.47005925478781574,0.9308611774409402,0.31421508042099705
0.0,2,flat,confidence_weighted,0.47005925478781574,0.9308611774409402,0.31421508042099705
0.0,2,flat,random_dictator,0.4710889040502443,0.9315377725147561,0.315412106789862
0.0,2,flat,supervisor_rerank,0.4670574376197518,0.9340232072092335,0.31689414808695776
0.0,2,flat,oracle,0.48366152103906845,0.9093679726835492,0.2877157350279123
0.25,0,hierarchical,majority_vote,0.4147605088518836,0.9202283620493483,0.2638248226831147
0.25,0,hierarchical,oracle_upper_bound,0.4154698527231165,0.9210857112212217,0.26723827792966226
0.25,0,hierarchical,self_consistency,0.4147605088518836,0.9202283620493483,0.2638248226831147
