adversary_type,corruption_rate,corruption_level,metric,best_aggregator,value,runner_up,margin
coordinated,0.0,low,welfare,oracle,0.4687511443677837,trimmed_vote,0.014493155629899501
coordinated,0.25,low,welfare,oracle,0.469891506859424,confidence_weighted,0.0135373820343202
coordinated,0.5,mid,welfare,oracle,0.4669734917396534,random_dictator,0.019181282368008312
coordinated,0.75,high,welfare,oracle,0.4614843480260227,random_dictator,0.08560329679658857
deceptive,0.0,low,welfare,oracle,0.4586357428128364,confidence_weighted,0.012324122970605311
deceptive,0.25,low,welfare,oracle,0.4670328556592462,trimmed_vote,0.019149203332713305
deceptive,0.5,mid,welfare,oracle,0.4642589713341103,random_dictator,0.02096708964236821
deceptive,0.75,high,welfare,oracle,0.4713197013498575,supervisor_rerank,0.08535792891643579
scheduled,0.0,low,welfare,oracle,0.471102779555666,confidence_weighted,0.013157858241153675
scheduled,0.25,low,welfare,oracle,0.4721072015191691,random_dictator,0.016562905137650186
scheduled,0.5,mid,welfare,oracle,0.4661730735221754,confidence_weighted,0.017580108635592784
scheduled,0.75,high,welfare,oracle,0.4606667255849794,trimmed_vote,0.06919771549833592
selfish,0.0,low,welfare,oracle,0.4663985015150024,trimmed_vote,0.015670484986726796
selfish,0.25,low,welfare,oracle,0.4554983930748383,trimmed_vote,0.012346503639149908
selfish,0.5,mid,welfare,oracle,0.4665296266905668,random_dictator,0.012833427887682325
selfish,0.75,high,welfare,oracle,0.4611875696412847,majority_vote,0.0064749312165910955
coordinated,0.0,low,worst_group,trimmed_vote,0.3141636405492193,confidence_weighted,0.0003460719346217167
coordinated,0.25,low,worst_group,majority_vote,0.3110013939836898,self_consistency,0.0
coordinated,0.5,mid,worst_group,confidence_weighted,0.3036385394528818,ema_trust,0.0
coordinated,0.75,high,worst_group,oracle,0.2930781806212715,trimmed_vote,0.05241357364882501
deceptive,0.0,low,worst_group,confidence_weighted,0.3076697015175377,ema_trust,0.0
deceptive,0.25,low,worst_group,confidence_weighted,0.3014903597022006,ema_trust,0.0
deceptive,0.5,mid,worst_group,supervisor_rerank,0.3061400305722322,trimmed_vote,0.0002506878500010967
deceptive,0.75,high,worst_group,oracle,0.300868613260341,supervisor_rerank,0.0481392795902863
scheduled,0.0,low,worst_group,trimmed_vote,0.3058077923715039,supervisor_rerank,5.614719734781115e-05
scheduled,0.25,low,worst_group,random_dictator,0.3127705320472351,supervisor_rerank,0.0002171380490554875
scheduled,0.5,mid,worst_group,confidence_weighted,0.3182124843072457,ema_trust,0.0
scheduled,0.75,high,worst_group,oracle,0.292627327202229,supervisor_rerank,0.0345818390297713
selfish,0.0,low,worst_group,trimmed_vote,0.3045670865191682,confidence_weighted,0.00042245210156349744
selfish,0.25,low,worst_group,trimmed_vote,0.2983364092417017,random_dictator,0.00022387344509761098
selfish,0.5,mid,worst_group,confidence_weighted,0.309313903953139,ema_trust,0.0
selfish,0.75,high,worst_group,random_dictator,0.3126097552527862,trimmed_vote,0.001009539111701041
coordinated,0.0,low,fairness,trimmed_vote,0.9393452620074754,confidence_weighted,0.0003008880503881928
coordinated,0.25,low,fairness,majority_vote,0.937632939027744,self_consistency,0.0
coordinated,0.5,mid,fairness,confidence_weighted,0.9324504575965652,ema_trust,0.0
coordinated,0.75,high,fairness,supervisor_rerank,0.923774416775844,confidence_weighted,0.00025240662809544734
deceptive,0.0,low,fairness,supervisor_rerank,0.9367704607313332,confidence_weighted,1.8661446254397696e-05
deceptive,0.25,low,fairness,confidence_weighted,0.9340055286595736,ema_trust,0.0
deceptive,0.5,mid,fairness,trimmed_vote,0.9347565409032818,confidence_weighted,0.00013343772949014898
deceptive,0.75,high,fairness,supervisor_rerank,0.9270744074583344,majority_vote,0.0011127543383303573
scheduled,0.0,low,fairness,supervisor_rerank,0.930915728038634,trimmed_vote,0.0003125886291187596
scheduled,0.25,low,fairness,supervisor_rerank,0.9336370599360198,random_dictator,7.588870007191328e-05
scheduled,0.5,mid,fairness,majority_vote,0.9418624585678484,self_consistency,0.0
scheduled,0.75,high,fairness,supervisor_rerank,0.9251472650279302,trimmed_vote,0.0006385390053221807
selfish,0.0,low,fairness,random_dictator,0.9316122454086544,trimmed_vote,0.00014846921800337753
selfish,0.25,low,fairness,supervisor_rerank,0.931551163898457,random_dictator,0.0003095347707700036
selfish,0.5,mid,fairness,confidence_weighted,0.9359854251172997,ema_trust,0.0
selfish,0.75,high,fairness,random_dictator,0.9375589484648008,trimmed_vote,0.0010135933497031901
