round_id,agent_id,class_id,role,corrupted,adversary_type,recommended_action_id,oracle_action_id,corruption_rate,run
0,judge_0,guardian,judge,False,selfish,C,C,0.0,0
0,judge_1,auxiliary,judge,False,selfish,C,C,0.0,0
0,judge_2,producer,judge,False,selfish,C,C,0.0,0
0,judge_3,guardian,judge,False,selfish,C,C,0.0,0
0,judge_4,auxiliary,judge,False,selfish,C,C,0.0,0
1,judge_0,guardian,judge,False,selfish,B,C,0.0,0
1,judge_1,auxiliary,judge,False,selfish,B,C,0.0,0
1,judge_2,producer,judge,False,selfish,B,C,0.0,0
1,judge_3,guardian,judge,False,selfish,B,C,0.0,0
1,judge_4,auxiliary,judge,False,selfish,B,C,0.0,0
2,judge_0,guardian,judge,False,selfish,C,A,0.0,0
2,judge_1,auxiliary,judge,False,selfish,C,A,0.0,0
2,judge_2,producer,judge,False,selfish,C,A,0.0,0
2,judge_3,guardian,judge,False,selfish,C,A,0.0,0
2,judge_4,auxiliary,judge,False,selfish,C,A,0.0,0
3,judge_0,guardian,judge,False,selfish,A,B,0.0,0
3,judge_1,auxiliary,judge,False,selfish,A,B,0.0,0
3,judge_2,producer,judge,False,selfish,A,B,0.0,0
3,judge_3,guardian,judge,False,selfish,A,B,0.0,0
3,judge_4,auxiliary,judge,False,selfish,A,B,0.0,0
4,judge_0,guardian,judge,False,selfish,C,C,0.0,0
4,judge_1,auxiliary,judge,False,selfish,C,C,0.0,0
4,judge_2,producer,judge,False,selfish,C,C,0.0,0
4,judge_3,guardian,judge,False,selfish,C,C,0.0,0
4,judge_4,auxiliary,judge,False,selfish,B,C,0.0,0
5,judge_0,guardian,judge,False,selfish,A,B,0.0,0
5,judge_1,auxiliary,judge,False,selfish,A,B,0.0,0
5,judge_2,producer,judge,False,selfish,A,B,0.0,0
5,judge_3,guardian,judge,False,selfish,A,B,0.0,0
5,judge_4,auxiliary,judge,False,selfish,A,B,0.0,0
6,judge_0,guardian,judge,False,selfish,C,C,0.0,0
6,judge_1,auxiliary,judge,False,selfish,C,C,0.0,0
6,judge_2,producer,judge,False,selfish,C,C,0.0,0
6,judge_3,guardian,judge,False,selfish,C,C,0.0,0
6,judge_4,auxiliary,judge,False,selfish,C,C,0.0,0
7,judge_0,guardian,judge,False,selfish,B,C,0.0,0
7,judge_1,auxiliary,judge,False,selfish,C,C,0.0,0
7,judge_2,producer,judge,False,selfish,B,C,0.0,0
7,judge_3,guardian,judge,False,selfish,C,C,0.0,0
7,judge_4,auxiliary,judge,False,selfish,B,C,0.0,0
8,judge_0,guardian,judge,False,selfish,B,B,0.0,0
8,judge_1,auxiliary,judge,False,selfish,B,B,0.0,0
8,judge_2,producer,judge,False,selfish,B,B,0.0,0
8,judge_3,guardian,judge,False,selfish,B,B,0.0,0
8,judge_4,auxiliary,judge,False,selfish,B,B,0.0,0
9,judge_0,guardian,judge,False,selfish,A,B,0.0,0
9,judge_1,auxiliary,judge,False,selfish,C,B,0.0,0
9,judge_2,producer,judge,False,selfish,A,B,0.0,0
9,judge_3,guardian,judge,False,selfish,A,B,0.0,0
9,judge_4,auxiliary,judge,False,selfish,A,B,0.0,0
10,judge_0,guardian,judge,False,selfish,C,C,0.0,0
10,judge_1,auxiliary,judge,False,selfish,C,C,0.0,0
10,judge_2,producer,judge,False,selfish,C,C,0.0,0
10,judge_3,guardian,judge,False,selfish,C,C,0.0,0
10,judge_4,auxiliary,judge,False,selfish,C,C,0.0,0
