Rank,Aggregator,Utility,90% CI,Fairness,Worst-Grp,Regret
1,Oracle,0.4655,"[0.4562, 0.4748]",0.9226,0.2984,0.0000
2,Supervisor,0.4488,"[0.4390, 0.4587]",0.9346,0.3062,0.0162
3,MW,0.4458,"[0.4359, 0.4557]",0.9349,0.3047,0.0192
4,Random,0.4387,"[0.4289, 0.4485]",0.9333,0.2974,0.0264
5,Conf-Wt,0.4384,"[0.4286, 0.4481]",0.9335,0.2977,0.0266
6,OracleUB,0.4378,"[0.4280, 0.4477]",0.9337,0.2977,0.0287
7,EMA,0.4371,"[0.4273, 0.4469]",0.9335,0.2971,0.0279
8,Trimmed,0.4371,"[0.4274, 0.4468]",0.9336,0.2974,0.0277
9,Majority,0.4364,"[0.4266, 0.4462]",0.9334,0.2965,0.0287
10,Self-Cons,0.4357,"[0.4260, 0.4454]",0.9332,0.2958,0.0294
