N,Aggregator,GO Utility,FH Utility,Δ Utility
3,confidence_weighted,0.4213,0.4461,+0.0248
3,ema_trust,0.4213,0.4466,+0.0253
3,majority_vote,0.4213,0.4473,+0.0261
3,multiplicative_weights,0.4213,0.4461,+0.0248
3,oracle,0.4269,0.4626,+0.0356
3,oracle_upper_bound,0.4224,0.4485,+0.0261
3,random_dictator,0.4231,0.4472,+0.0241
3,self_consistency,0.4213,0.4473,+0.0261
3,supervisor_rerank,0.4205,0.4466,+0.0261
3,trimmed_vote,0.4213,0.4473,+0.0261
5,confidence_weighted,0.4278,0.4637,+0.0359
5,ema_trust,0.4278,0.4631,+0.0353
5,majority_vote,0.4278,0.4628,+0.0350
5,multiplicative_weights,0.4278,0.4637,+0.0359
5,oracle,0.4260,0.4761,+0.0502
5,oracle_upper_bound,0.4344,0.4637,+0.0293
5,random_dictator,0.4313,0.4598,+0.0285
5,self_consistency,0.4278,0.4628,+0.0350
5,supervisor_rerank,0.4278,0.4593,+0.0315
5,trimmed_vote,0.4285,0.4620,+0.0336
7,confidence_weighted,0.4150,0.4656,+0.0506
7,ema_trust,0.4150,0.4654,+0.0505
7,majority_vote,0.4150,0.4658,+0.0508
7,multiplicative_weights,0.4150,0.4656,+0.0506
7,oracle,0.4212,0.4775,+0.0563
7,oracle_upper_bound,0.4187,0.4676,+0.0488
7,random_dictator,0.4166,0.4654,+0.0488
7,self_consistency,0.4150,0.4647,+0.0497
7,supervisor_rerank,0.4160,0.4647,+0.0488
7,trimmed_vote,0.4147,0.4656,+0.0509
10,confidence_weighted,0.4246,0.4549,+0.0303
10,ema_trust,0.4246,0.4555,+0.0310
10,majority_vote,0.4246,0.4576,+0.0330
10,multiplicative_weights,0.4246,0.4549,+0.0303
10,oracle,0.4255,0.4691,+0.0436
10,oracle_upper_bound,0.4251,0.4615,+0.0364
10,random_dictator,0.4235,0.4528,+0.0293
10,self_consistency,0.4246,0.4552,+0.0307
10,supervisor_rerank,0.4217,0.4496,+0.0280
10,trimmed_vote,0.4233,0.4549,+0.0316
